"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","w8nwRe","znYl0","Hzvxle","pkWtMe","RfDO5c","RfDO5c 2"
"https://lh3.googleusercontent.com/a-/ALV-UjXZkzGZ_PMHhGQh_pkT7GexO16ngfLqQF1OOSofLmX2Z2pk6z6A=w45-h45-p-rp-mo-br100","Dr.Laximan Sawant","20 reviews · 33 photos","8 months ago","Food is good but not excellent
Atmosphere is great
Saw Instagram reel and visited the place","More","Like","","","Service…",""
"https://lh3.googleusercontent.com/a-/ALV-UjXduF_lHDBG6PPb-8wTB335EWNvmDjRjJhbSYOA1yney9CJU0N1=w45-h45-p-rp-mo-br100","amitkumar koli","27 reviews · 48 photos","3 months ago","We had two special bhanatwadi mutton thali
But the food was not good smell is coming from mutton .quantity bad as per price 450 per thali .and also we have ordered chicken biryani that was also not good.only masale spicy was there no biryani taste.
Not good","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW73wSyLw3-CjSgY05nBV4kRqU_56Ev_8piymC_IWeUeFW7AIt8=w45-h45-p-rp-mo-br100","Shailesh Patil","10 reviews · 2 photos","10 months ago","Service is the best & very delicious food. We have ordered Bhannatwadi Special Chicken Thali, green chicken is very unique and Bhakri tastes the same as home. Definitely recommended.","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJMsXiv_K4D8LNjdKzADgxpuwl66dzTtpMCyGv1LkJ5kDB--w=w45-h45-p-rp-mo-ba3-br100","abhishek patil","Local Guide · 36 reviews · 43 photos","9 months ago","Great experience visiting here. All the 3pillars of the restaurant Taste ambience and service was one of the best of its kind. It's a heavan for non veg lovers must visit this place","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIEYeDsAw1LNr1wXsMEYx-DmHa5grAkhZ8b8D3ogHPzaLM3-g=w45-h45-p-rp-mo-br100","Mahesh Ingale","2 reviews","2 months ago","After eating samosas and fries, I found out that the quality of oil was poor and spoiled. The taste was bitter and the snacks were not good.","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXlvvEJBbClMDSKuDeMSRe8xHJ6KIgLVNIW0l1oK30LyCEOQAyf=w45-h45-p-rp-mo-ba4-br100","vinayak shinde","Local Guide · 38 reviews · 70 photos","9 months ago","Best hotel or restaurant for non vegetarians
Taste is delicious and service is very very fast n good very hygienic and cleanly maintained","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXVqMKPzbWrHpcyM2qtnRaiQF8JA0K_mkGlYy16Ef0x8BwWdDva=w45-h45-p-rp-mo-br100","Nitin Jagdale","8 reviews","4 months ago","Good ambience, theme and location but food quality is not upto the mark.. there are many better thali restaurants in Kolhapur so if you are going only for food this isn't a place for you..","More","","Like","1","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUdgPZ_csX-uYXW8YdKPu83t2Rz2ZUkK2wiKCeo7_r2d2b6RWyV=w45-h45-p-rp-mo-ba2-br100","Swapnil Kadam","Local Guide · 12 reviews","5 months ago","Nothing worth the hype. Food is good. Tambda rassa is ok ok. Pandhara rassa and solkadhi are fantastic. Overall, normal food. Nothing worth the hype. Service is very very good. Not even once you will meed to ask something. The waiters will …","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJasvW7SHRoln9YEODyedVLgng0N2aLJ8uvG64igwagwNoT4A=w45-h45-p-rp-mo-ba3-br100","Amit Kanade","Local Guide · 7 reviews · 48 photos","2 weeks ago","The food quality is not good at all; only the ambience is made to look fancy.","More","Like","","","Service…",""
"https://lh3.googleusercontent.com/a/ACg8ocJu3tb_J0f4u-4F0y6nskonV_qMlcJ4xg4P5GVw7xasBawghA=w45-h45-p-rp-mo-ba2-br100","suma Nair","Local Guide · 10 reviews · 29 photos","5 months ago","Nice Ambiance, tasty food","More","Like","","","Service","Dine in…"
